pfs_visit_id,arm,sps_module_id,pfs_design_id,time_exp_start
84321,r,1,3940907130413629120,2022-12-26 18:44:09.782912
84321,b,1,3940907130413629120,2022-12-26 18:44:09.782912
84322,r,1,3940907130413629120,2022-12-26 19:05:06.202615
84322,b,1,3940907130413629120,2022-12-26 19:05:06.202615
84323,r,1,3940907130413629120,2022-12-26 19:26:02.595696
84323,b,1,3940907130413629120,2022-12-26 19:26:02.595696
84324,r,1,3940907130413629120,2022-12-26 19:46:58.92441
84324,b,1,3940907130413629120,2022-12-26 19:46:58.92441
84325,r,1,3940907130413629120,2022-12-26 20:07:55.191653
84325,b,1,3940907130413629120,2022-12-26 20:07:55.191653
84326,r,1,3940907130413629120,2022-12-26 20:28:51.644157
84326,b,1,3940907130413629120,2022-12-26 20:28:51.644157
84327,r,1,3940907130413629120,2022-12-26 20:49:48.179952
84327,b,1,3940907130413629120,2022-12-26 20:49:48.179952
84328,r,1,3940907130413629120,2022-12-26 21:10:44.342734
84328,b,1,3940907130413629120,2022-12-26 21:10:44.342734
84329,r,1,3940907130413629120,2022-12-26 21:31:40.68735
84329,b,1,3940907130413629120,2022-12-26 21:31:40.68735
84330,r,1,3940907130413629120,2022-12-26 21:51:25.621253
84330,b,1,3940907130413629120,2022-12-26 21:51:25.621253
84331,r,1,3940907130413629120,2022-12-26 22:12:22.116279
84331,b,1,3940907130413629120,2022-12-26 22:12:22.116279
84332,r,1,3940907130413629120,2022-12-26 22:33:18.231301
84332,b,1,3940907130413629120,2022-12-26 22:33:18.231301
84333,r,1,3940907130413629120,2022-12-26 22:54:14.571857
84333,b,1,3940907130413629120,2022-12-26 22:54:14.571857
84334,r,1,3940907130413629120,2022-12-26 23:15:10.733101
84334,b,1,3940907130413629120,2022-12-26 23:15:10.733101
84335,r,1,3940907130413629120,2022-12-26 23:36:06.926975
84335,b,1,3940907130413629120,2022-12-26 23:36:06.926975
84336,r,1,3940907130413629120,2022-12-26 23:57:02.956128
84336,b,1,3940907130413629120,2022-12-26 23:57:02.956128
84337,r,1,3940907130413629120,2022-12-27 00:17:59.145747
84337,b,1,3940907130413629120,2022-12-27 00:17:59.145747
84338,r,1,3940907130413629120,2022-12-27 00:31:08.47792
84338,b,1,3940907130413629120,2022-12-27 00:31:08.47792
84339,r,1,3940907130413629120,2022-12-27 00:52:04.72479
84339,b,1,3940907130413629120,2022-12-27 00:52:04.72479
84340,r,1,3940907130413629120,2022-12-27 01:13:01.309431
84340,b,1,3940907130413629120,2022-12-27 01:13:01.309431
84341,r,1,3940907130413629120,2022-12-27 01:33:57.587367
84341,b,1,3940907130413629120,2022-12-27 01:33:57.587367
84342,r,1,3940907130413629120,2022-12-27 01:54:53.833097
84342,b,1,3940907130413629120,2022-12-27 01:54:53.833097
84343,r,1,3940907130413629120,2022-12-27 02:15:49.995783
84343,b,1,3940907130413629120,2022-12-27 02:15:49.995783
84344,r,1,3940907130413629120,2022-12-27 02:36:46.172151
84344,b,1,3940907130413629120,2022-12-27 02:36:46.172151
84345,r,1,3940907130413629120,2022-12-27 02:57:42.507502
84345,b,1,3940907130413629120,2022-12-27 02:57:42.507502
84346,r,1,3940907130413629120,2022-12-27 03:18:38.986288
84346,b,1,3940907130413629120,2022-12-27 03:18:38.986288
84347,r,1,3940907130413629120,2022-12-27 03:39:35.429592
84347,b,1,3940907130413629120,2022-12-27 03:39:35.429592
84348,r,1,3940907130413629120,2022-12-27 04:00:31.816645
84348,b,1,3940907130413629120,2022-12-27 04:00:31.816645
84349,r,1,3940907130413629120,2022-12-27 04:21:27.985477
84349,b,1,3940907130413629120,2022-12-27 04:21:27.985477
84350,r,1,3940907130413629120,2022-12-27 04:42:24.574762
84350,b,1,3940907130413629120,2022-12-27 04:42:24.574762
84351,r,1,3940907130413629120,2022-12-27 05:03:20.775493
84351,b,1,3940907130413629120,2022-12-27 05:03:20.775493
84352,r,1,3940907130413629120,2022-12-27 05:24:17.03155
84352,b,1,3940907130413629120,2022-12-27 05:24:17.03155
84353,r,1,3940907130413629120,2022-12-27 05:45:13.45145
84353,b,1,3940907130413629120,2022-12-27 05:45:13.45145
84354,r,1,3940907130413629120,2022-12-27 18:11:40.953865
84354,b,1,3940907130413629120,2022-12-27 18:11:40.953865
84355,r,1,3940907130413629120,2022-12-27 18:15:11.020933
84355,b,1,3940907130413629120,2022-12-27 18:15:11.020933
84356,r,1,3940907130413629120,2022-12-27 18:36:07.671547
84356,b,1,3940907130413629120,2022-12-27 18:36:07.671547
84357,r,1,3940907130413629120,2022-12-27 18:57:04.296628
84357,b,1,3940907130413629120,2022-12-27 18:57:04.296628
84358,r,1,3940907130413629120,2022-12-27 19:18:00.915658
84358,b,1,3940907130413629120,2022-12-27 19:18:00.915658
84359,r,1,3940907130413629120,2022-12-27 19:38:57.080153
84359,b,1,3940907130413629120,2022-12-27 19:38:57.080153
84360,r,1,3940907130413629120,2022-12-27 19:59:53.624882
84360,b,1,3940907130413629120,2022-12-27 19:59:53.624882
84361,r,1,3940907130413629120,2022-12-28 00:38:35.423156
84361,b,1,3940907130413629120,2022-12-28 00:38:35.423156
84362,r,1,3940907130413629120,2022-12-28 00:59:31.686533
84362,b,1,3940907130413629120,2022-12-28 00:59:31.686533
84363,r,1,3940907130413629120,2022-12-28 01:20:28.141819
84363,b,1,3940907130413629120,2022-12-28 01:20:28.141819
84364,r,1,3940907130413629120,2022-12-28 01:41:24.328636
84364,b,1,3940907130413629120,2022-12-28 01:41:24.328636
84365,r,1,3940907130413629120,2022-12-28 02:02:20.798619
84365,b,1,3940907130413629120,2022-12-28 02:02:20.798619
84366,r,1,3940907130413629120,2022-12-28 02:23:17.189766
84366,b,1,3940907130413629120,2022-12-28 02:23:17.189766
84367,r,1,3940907130413629120,2022-12-28 02:44:13.535191
84367,b,1,3940907130413629120,2022-12-28 02:44:13.535191
84368,r,1,3940907130413629120,2022-12-28 03:05:09.789939
84368,b,1,3940907130413629120,2022-12-28 03:05:09.789939
84369,r,1,3940907130413629120,2022-12-28 03:26:06.113708
84369,b,1,3940907130413629120,2022-12-28 03:26:06.113708
84370,r,1,3940907130413629120,2022-12-28 03:47:02.292074
84370,b,1,3940907130413629120,2022-12-28 03:47:02.292074
84371,r,1,3940907130413629120,2022-12-28 04:07:58.651453
84371,b,1,3940907130413629120,2022-12-28 04:07:58.651453
84372,r,1,3940907130413629120,2022-12-28 04:28:54.743967
84372,b,1,3940907130413629120,2022-12-28 04:28:54.743967
84373,r,1,3940907130413629120,2022-12-28 04:49:50.955211
84373,b,1,3940907130413629120,2022-12-28 04:49:50.955211
84374,r,1,3940907130413629120,2022-12-28 05:10:47.203014
84374,b,1,3940907130413629120,2022-12-28 05:10:47.203014
84375,r,1,3940907130413629120,2022-12-28 05:31:43.255925
84375,b,1,3940907130413629120,2022-12-28 05:31:43.255925
84376,r,1,3940907130413629120,2022-12-28 05:52:39.612763
84376,b,1,3940907130413629120,2022-12-28 05:52:39.612763
84377,r,1,3940907130413629120,2022-12-28 18:46:30.663358
84377,b,1,3940907130413629120,2022-12-28 18:46:30.663358
84378,r,1,3940907130413629120,2022-12-28 19:07:27.389876
84378,b,1,3940907130413629120,2022-12-28 19:07:27.389876
84379,r,1,3940907130413629120,2022-12-28 19:28:23.919213
84379,b,1,3940907130413629120,2022-12-28 19:28:23.919213
84380,r,1,3940907130413629120,2022-12-28 19:49:20.937419
84380,b,1,3940907130413629120,2022-12-28 19:49:20.937419
84381,r,1,3940907130413629120,2022-12-28 20:10:17.277678
84381,b,1,3940907130413629120,2022-12-28 20:10:17.277678
84382,r,1,3940907130413629120,2022-12-28 20:31:13.52303
84382,b,1,3940907130413629120,2022-12-28 20:31:13.52303
84383,r,1,3940907130413629120,2022-12-28 20:52:09.770803
84383,b,1,3940907130413629120,2022-12-28 20:52:09.770803
84384,r,1,3940907130413629120,2022-12-28 21:13:06.180971
84384,b,1,3940907130413629120,2022-12-28 21:13:06.180971
84385,r,1,3940907130413629120,2022-12-28 21:34:02.335185
84385,b,1,3940907130413629120,2022-12-28 21:34:02.335185
84386,r,1,3940907130413629120,2022-12-28 21:54:58.560311
84386,b,1,3940907130413629120,2022-12-28 21:54:58.560311
84387,r,1,3940907130413629120,2022-12-28 22:15:54.858008
84387,b,1,3940907130413629120,2022-12-28 22:15:54.858008
84388,r,1,3940907130413629120,2022-12-28 22:36:51.254084
84388,b,1,3940907130413629120,2022-12-28 22:36:51.254084
84389,r,1,3940907130413629120,2022-12-28 22:57:47.624189
84389,b,1,3940907130413629120,2022-12-28 22:57:47.624189
84390,r,1,3940907130413629120,2022-12-28 23:18:44.115281
84390,b,1,3940907130413629120,2022-12-28 23:18:44.115281
84391,r,1,3940907130413629120,2022-12-28 23:39:40.348327
84391,b,1,3940907130413629120,2022-12-28 23:39:40.348327
84392,r,1,3940907130413629120,2022-12-29 00:00:36.608042
84392,b,1,3940907130413629120,2022-12-29 00:00:36.608042
84393,r,1,3940907130413629120,2022-12-29 00:21:32.853757
84393,b,1,3940907130413629120,2022-12-29 00:21:32.853757
84394,r,1,3940907130413629120,2022-12-29 00:42:29.119839
84394,b,1,3940907130413629120,2022-12-29 00:42:29.119839
84395,r,1,3940907130413629120,2022-12-29 01:03:26.541825
84395,b,1,3940907130413629120,2022-12-29 01:03:26.541825
84396,r,1,3940907130413629120,2022-12-29 01:24:22.850343
