84666, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 08:00:20.645349
84667, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 08:01:09.605611
84667, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 08:01:09.590571
84667, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 08:01:15.814656
84668, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 08:02:05.104998
84668, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 08:02:04.978766
84668, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 08:02:11.280472
84669, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 08:03:01.697781
84669, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 08:03:01.66543
84669, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 08:03:07.941676
84670, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 08:06:27.378132
84670, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 08:06:27.415203
84670, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 08:06:33.546848
84671, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 08:09:52.735343
84671, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 08:09:52.833386
84671, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 08:09:58.966669
84672, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 10:00:15.06175
84672, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 10:00:15.01262
84672, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 10:00:21.201936
84673, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 10:01:10.350118
84673, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 10:01:10.202538
84673, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 10:01:16.456938
84674, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 10:02:08.736695
84674, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 10:02:08.688261
84674, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 10:02:14.893207
84675, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 10:03:05.937613
84675, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 10:03:05.871727
84675, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 10:03:12.130424
84676, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 10:06:36.513688
84676, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 10:06:36.429114
84676, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 10:06:42.64952
84677, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 10:10:01.924857
84677, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 10:10:02.019166
84677, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 10:10:08.106872
84678, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 12:00:14.183756
84678, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 12:00:14.063961
84678, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 12:00:20.316224
84679, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 12:01:09.483157
84679, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 12:01:09.350869
84679, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 12:01:15.65472
84680, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 12:02:04.788754
84680, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 12:02:04.828644
84680, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 12:02:11.029607
84681, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 12:03:01.590862
84681, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 12:03:01.709002
84681, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 12:03:07.833079
84682, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 12:06:26.972571
84682, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 12:06:26.871216
84682, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 12:06:33.184376
84683, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 12:09:54.038349
84683, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 12:09:54.035214
84683, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 12:10:00.269541
84684, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 14:00:14.541959
84684, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 14:00:14.629733
84684, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 14:00:20.749429
84685, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 14:01:10.143875
84685, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 14:01:10.016032
84685, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 14:01:16.353567
84686, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 14:02:05.545551
84686, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 14:02:05.504409
84686, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 14:02:11.688038
84687, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 14:03:02.442291
84687, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 14:03:02.489508
84687, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 14:03:08.652078
84688, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 14:06:27.958075
84688, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 14:06:27.851764
84688, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 14:06:34.092018
84689, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 14:09:53.247341
84689, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 14:09:53.103251
84689, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 14:09:59.409352
84690, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 16:00:14.892125
84690, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 16:00:14.81556
84690, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 16:00:21.05084
84691, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 16:01:10.507463
84691, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 16:01:10.408107
84691, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 16:01:16.605172
84692, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 16:02:05.849654
84692, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 16:02:05.802151
84692, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 16:02:11.957582
84693, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 16:03:02.256835
84693, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 16:03:02.195343
84693, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 16:03:08.50342
84694, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 16:06:27.810962
84694, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 16:06:27.681921
84694, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 16:06:33.972831
84695, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-05 16:09:52.956767
84695, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-05 16:09:52.976938
84695, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-05 16:09:59.120786
84720, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 08:00:14.689282
84720, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 08:00:14.646982
84720, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 08:00:20.799496
84721, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 08:01:10.283378
84721, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 08:01:10.326553
84721, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 08:01:16.549533
84722, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 08:02:05.584469
84722, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 08:02:05.597934
84722, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 08:02:11.781509
84723, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 08:03:02.572663
84723, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 08:03:02.563639
84723, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 08:03:08.712934
84724, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 08:06:27.839288
84724, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 08:06:27.85744
84724, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 08:06:34.022931
84725, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 08:09:53.812708
84725, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 08:09:53.74622
84725, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 08:09:59.924309
84726, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 10:00:14.944682
84726, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 10:00:14.946864
84726, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 10:00:21.153458
84727, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 10:01:10.665642
