visit,taiObs,dataType,scale,rate
36467,2022-05-18T12:53:44.403,FLAT,5.0,4.935
36551,2022-05-18T14:24:25.408,COMPARISON,6.8,3.373
36113,2022-05-17T19:44:15.631,COMPARISON,2.2,2.145
34309,2022-04-26T12:28:14.524,COMPARISON,17.5,17.373
35837,2022-05-14T11:12:26.478,DARK,199.9,0.666
36186,2022-05-17T22:20:03.434,FLAT,7.3,3.637
35969,2022-05-17T12:21:28.670,COMPARISON,7.3,2.421
36624,2022-05-18T17:05:59.496,COMPARISON,38.3,5.121
35486,2022-05-06T10:23:47.907,COMPARISON,0.1,0.04
34237,2022-04-25T17:07:15.038,COMPARISON,2.4,0.785
36552,2022-05-18T14:25:25.899,COMPARISON,6.8,3.376
36468,2022-05-18T12:54:51.221,FLAT,9.5,4.716
34449,2022-04-26T20:03:28.529,DARK,1336.6,4.455
36308,2022-05-18T01:43:20.753,COMPARISON,7.4,3.672
34382,2022-04-26T17:37:27.890,COMPARISON,5.4,2.71
36114,2022-05-17T19:45:15.002,COMPARISON,2.2,2.232
34310,2022-04-26T12:29:14.233,COMPARISON,17.5,17.428
35838,2022-05-14T11:18:22.993,DARK,277.9,0.926
36187,2022-05-17T22:21:01.320,FLAT,7.2,3.569
35970,2022-05-17T12:22:30.960,COMPARISON,7.2,2.412
36625,2022-05-18T17:07:04.483,COMPARISON,38.8,5.193
34238,2022-04-25T17:08:16.860,COMPARISON,2.3,0.775
36553,2022-05-18T14:26:26.593,COMPARISON,6.5,3.263
36469,2022-05-18T12:55:52.632,FLAT,9.3,4.634
34383,2022-04-26T17:38:25.871,COMPARISON,5.5,2.763
36309,2022-05-18T01:44:21.841,COMPARISON,6.9,3.459
36115,2022-05-17T19:46:28.967,COMPARISON,4.2,2.099
34311,2022-04-26T12:30:14.236,COMPARISON,17.5,17.383
34450,2022-04-26T20:09:24.766,DARK,1441.0,4.803
35839,2022-05-14T11:24:19.437,DARK,369.8,1.233
